Audi Sales Figures by Markets;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Markets;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006
Germany;238.735;238.735;244.127;257.642;239.644;254.866;243.650;237.786;235.092;247.125;257.792
Italy;38.048;38.048;;;;47.006;50.107;51.341;50.500;55.574;59.002
Great Britain;35.724;35.724;;;;54.140;65.552;70.107;77.882;81.374;86.003
USA;34.160;34.160;52.096;65.959;80.372;83.283;85.726;86.424;77.917;83.066;90.116
France;27.873;27.873;;;;40.521;40.793;37.467;37.676;41.498;45.525
Spain;27.771;27.771;;;;42.118;41.052;41.124;43.764;49.453;54.557
Belgium;16.330;16.330;;;;20.028;19.738;19.228;21.509;24.337;26.517
Netherlands;;;;;;12.753;;;15.038;16.824;17.573
Austria;15.454;15.454;;;;16.924;15.710;16.933;15.711;17.058;17.103
Switzerland;13.937;13.937;;;;18.548;15.097;17.201;14.105;12.830;13.947
Sweden;12.026;12.026;;;;11.214;;;11.598;12.465;14.583
China;;;;6.911;17.451;29.370;37.034;63.531;64.018;58.878;81.708
Japan;9.973;10.767;8.828;6.429;6.972;8.127;11.648;13.137;13.751;15.388;14.976
Rest of the world;22.015;86.952;;;;99.989;116.445;116.919;100.880;113.239;125.786
Total Audi Brand;492.046;559.774;604.088;634.973;653.404;726.134;742.552;771.198;779.441;829.109;905.188
;;;;;;;;;;;
;1.996;1.997;1.998;1.999;2.000;2.001;626.107;;;;
Western Europe;416.871;462.070;256.803;519.141;508.668;;;;;;
incl. Germany;238.735;238.735;244.127;257.642;239.644;254.866;;;;;
USA;27.328;34.160;52.096;65.959;80.372;83.283;85.726;86.421;;83.066;
Japan;;;8.828;6.429;6.972;8.127;;;;;
Rest of the world;37.874;39.439;42.234;43.179;57.392;;;;;;
incl. China;;;;6.911;17.451;;;;;;
Other brands in VW Group;;;;;;;252.979;232.593;190.799;214.405;228.279
Lamborghini Brand;;;;;;;;;1.592;1.600;2.087
;;;;;;;;;;;
Total Audi Brand;492.046;546.436;347.285;634.973;653.404;726.134;742.552;771.198;779.441;829.109;905.188
Total Audi Group*;;;;;;;995.531;1.003.791;971.832;1.045.114;1.135.554
;;;;;;;;;;;
;;;;;;;;;;;
Source: Audi Annual Reports;;;;;;;;;;;
* Audi's Autogerma Sales company also sells vehicles from other Volkswagen companies, as Volkswagens itsself, Skoda and Seat;;;;;;;;;;;
