Audi Production (FBU & CKD);;;;;;;;;;;
;;;;;;;;;;;
Modell;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006
A2;;;;;32.164;49.369;37.578;27.323;19.745;10.026;0
A3;;;;;;;;151.117;121.904;70.395;69.813
A3 Sportsback;;;;;;;;;52.846;150.091;159.581
A3 total;51.813;128.123;143.974;143.333;136.141;144.756;125.538;151.117;174.750;220.486;229.394
A4 Saloon;;;;;;;;;168.621;157.310;165.139
A4 Avant;;;;;;;;;144.402;155.620;142.027
A4Cabriolet;;;;;;;;29.285;31.962;22.076;27.735
RS4 Limousine;;;;;;;;;4;544;4.384
RS4 Avant;;;;;;;;;0;12;2.666
RS4 Cabriolet;;;;;;;;;0;13;589
A4/RS4 total;313.927;283.250;265.414;248.428;227.028;309.151;339.562;327.463;344.989;335.575;342.540
A5 Coupe;;;;;;;;;0;10;487
A6 Saloon;;;;;;;;;148.034;131.344;150.901
A6 Avant;;;;;;;;;33.667;73.334;70.430
A6 allroad quattro;;;;;11.439;19.995;19.998;17.634;14.796;4.295;11.838
RS 6;0;0;0;0;0;0;0;4.841;1.233;;
Audi 100;106.871;34.945;0;0;0;0;0;0;;;
A6 total;152.934;122.240;174.867;161.037;169.276;162.314;158.775;153.318;197.730;208.973;233.169
;;;;;;;;;;;
Audi Q7;0;0;0;0;0;0;0;0;46;1.194;72.188
A8;;;;;;;;;22.429;21.509;22.468
R8;;;;;;;;;;6;164
A8 Total;11.098;15.507;15.355;14.636;12.894;11.708;10.942;21.748;22.429;21.515;22.632
Audi TT Coupe;;;13.682;52.579;31.064;22.078;21.488;20.807;14.753;8.368;21.461
Audi TT Roadster;;;;;25.712;17.271;13.223;11.530;8.852;3.939;2.214
Audi TT total;;;13.682;52.579;56.776;39.349;34.711;32.337;23.605;12.307;23.675
Audi Brand Total;644.980;592.722;619.030;620.013;648.029;736.826;747.809;760.225;783.294;810.086;924.085
Threreof Convertibles;8.337;8.657;5.738;;2.311;184;20.705;29.285;31.962;26.028;30.538
;;;;;;;;;;;
Lamborghini;;;;;;;;;;;
Lamborghini Murci‚lago;;;;;;;;424;384;464;444
Lamborghini Gallardo;;;;;;;;933;1.294;972;1.651
Lamborghini total;;;;252;291;280;442;1.357;1.678;1.436;2.095
Audi Total;644.980;592.722;619.030;620.265;648.320;737.106;748.251;761.582;784.972;811.522;926.180
;;;;;;;;;;;
;;;;;;;;;;;
A3;;;;;;;;;;;229.394
A4;;;;;;;;;;;342.540
A6;;;;;;;;;;;233.169
A8;;;;;;;;;;;22.632
Q7;;;;;;;;;;;72.188
TT;;;;;;;;;;;23.675
Lamborghini;;;;;;;;;;;2.095
;;;;;;;;;;;
;;;;;;;;;;;
Source: Audi Annual Reports;;;;;;;;;;;
